board_index,tile_type,display_label,category,reward_or_action,realm_specific,notes
0,go,??,progression/reward,Gate/tax passage can collect taxes when crossed; landing grants about 50 x (tier+1) x realm growth coins.,Reward scales with realm growth RG(); visual realm changes theme.,"position x=19.108, y=0.000, z=0.000; No roll multiplier in formula; message may include multiplier tag only if active. Progression/economy; gate pass taxes when crossed."
1,coin,??,currency,"Grants random gold: (20, 30, 40, or 50) x multiplier x (tier+1) x realm growth x position multiplier.",Reward scales with RG(); higher tier/realm increases practical value.,"position x=19.167, y=0.000, z=2.204; Directly multiplied by S.multi. Coins quest via gain(); weekly indirectly through rolls spent, not landing."
2,fortune,??,random event,"Draws weighted fortune card; can grant coins, rolls, soldiers, blessing, jackpot, or lose coins/soldiers/rolls.",Coin outcomes scale with tier and RG(); soldiers/rolls fixed by card.,"position x=18.391, y=0.000, z=4.271; Many positive coin cards use multiplier; rolls/soldiers/losses usually do not. May affect coins/rolls/soldiers/blessing; store currency economy indirectly."
3,decree,??,choice/event,Starts royal decree choice event; affects kingdom policies/economy depending on selected decree.,Decree choices affect kingdom economy; presentation is not realm-specific.,"position x=17.029, y=0.000, z=6.018; No direct multiplier interaction in tile landing. Progression/economy choice system."
4,chest,??,interactive reward,Spawns tappable royal chest; grants gold and rolls after opening.,Gold scales with RG() and tier; rolls scale with tier.,"position x=15.338, y=0.000, z=7.452; Gold and extra rolls improve with multiplier. Reward interaction; coins quest via gain(); can add rolls."
5,coin,??,currency,"Grants random gold: (20, 30, 40, or 50) x multiplier x (tier+1) x realm growth x position multiplier.",Reward scales with RG(); higher tier/realm increases practical value.,"position x=13.489, y=0.000, z=8.680; Directly multiplied by S.multi. Coins quest via gain(); weekly indirectly through rolls spent, not landing."
6,gem,??,currency/quest,Grants about 80 x multiplier x (tier+1) x realm growth x position multiplier coins and advances gem quest.,Scales with RG(); quest-specific gem progress.,"position x=11.600, y=0.000, z=9.846; Directly multiplied by S.multi. Explicit gem quest progress."
7,raid,??,battle,Starts raid/battle minigame scaled by multiplier x (tier+1).,Scale uses multiplier x tier; broader battle context depends on current army/economy.,"position x=9.735, y=0.000, z=11.050; Battle scale uses S.multi. Battle system."
8,crime,???,risk/reward,Triggers thief/crime event; can steal coins based on crime rate and grants rolls while reducing crime.,"Depends on current crime/tax economy, not tile realm art.","position x=7.831, y=0.000, z=12.190; No direct multiplier interaction. Crime/tax economy."
9,wheel,??,interactive reward,Starts Wheel of Fortune interaction scaled by multiplier and tier.,Scaled by multiplier and tier.,"position x=5.760, y=0.000, z=12.975; Wheel scale uses S.multi. Reward interaction."
10,coin,??,currency,"Grants random gold: (20, 30, 40, or 50) x multiplier x (tier+1) x realm growth x position multiplier.",Reward scales with RG(); higher tier/realm increases practical value.,"position x=3.556, y=0.000, z=13.160; Directly multiplied by S.multi. Coins quest via gain(); weekly indirectly through rolls spent, not landing."
11,hazard,??,penalty/event,Starts random disaster: fire/plague/flood/bandits; loses coins or rolls.,Coin loss cap scales with tier and RG(); disaster text varies randomly.,"position x=1.366, y=0.000, z=12.810; No direct multiplier interaction. Penalty/risk event."
12,bonus,?,roll reward,Adds 2 x multiplier rolls immediately.,No realm-specific variation.,"position x=-0.805, y=0.000, z=12.354; Roll reward is 2 x S.multi. Roll economy."
13,decree,??,choice/event,Starts royal decree choice event; affects kingdom policies/economy depending on selected decree.,Decree choices affect kingdom economy; presentation is not realm-specific.,"position x=-3.011, y=0.000, z=12.468; No direct multiplier interaction in tile landing. Progression/economy choice system."
14,recruit,???,soldiers,Adds 3 + tier x 2 soldiers.,Soldier reward scales by current tier.,"position x=-5.146, y=0.000, z=13.074; No direct multiplier interaction. Soldier/battle preparation."
15,coin,??,currency,"Grants random gold: (20, 30, 40, or 50) x multiplier x (tier+1) x realm growth x position multiplier.",Reward scales with RG(); higher tier/realm increases practical value.,"position x=-7.280, y=0.000, z=13.684; Directly multiplied by S.multi. Coins quest via gain(); weekly indirectly through rolls spent, not landing."
16,bless,??,multiplier/progression,Unlocks higher multipliers x10/x20 by setting blessed=true.,No realm-specific variation.,"position x=-9.468, y=0.000, z=14.051; Enables higher multiplier ceiling. Multiplier progression."
17,dragon,??,battle,Starts dragon battle scaled by multiplier x (tier+1); victory grants hoard and dragon-slayer boon.,"Scale uses multiplier x tier; breed cycles by dragonSlain, not realm.","position x=-11.682, y=0.000, z=13.998; Dragon scale/per-tap reward uses S.multi. Battle system; dragon-slayer progression/boon."
18,crime,???,risk/reward,Triggers thief/crime event; can steal coins based on crime rate and grants rolls while reducing crime.,"Depends on current crime/tax economy, not tile realm art.","position x=-13.793, y=0.000, z=13.343; No direct multiplier interaction. Crime/tax economy."
19,gem,??,currency/quest,Grants about 80 x multiplier x (tier+1) x realm growth x position multiplier coins and advances gem quest.,Scales with RG(); quest-specific gem progress.,"position x=-15.508, y=0.000, z=11.959; Directly multiplied by S.multi. Explicit gem quest progress."
20,coin,??,currency,"Grants random gold: (20, 30, 40, or 50) x multiplier x (tier+1) x realm growth x position multiplier.",Reward scales with RG(); higher tier/realm increases practical value.,"position x=-16.486, y=0.000, z=9.985; Directly multiplied by S.multi. Coins quest via gain(); weekly indirectly through rolls spent, not landing."
21,chest,??,interactive reward,Spawns tappable royal chest; grants gold and rolls after opening.,Gold scales with RG() and tier; rolls scale with tier.,"position x=-16.665, y=0.000, z=7.782; Gold and extra rolls improve with multiplier. Reward interaction; coins quest via gain(); can add rolls."
22,sprint,??,movement,Moves ahead 1 to 3 extra spaces.,No realm-specific variation.,"position x=-16.238, y=0.000, z=5.608; No direct multiplier interaction. Movement/progression; can skip/advance toward other spaces."
23,decree,??,choice/event,Starts royal decree choice event; affects kingdom policies/economy depending on selected decree.,Decree choices affect kingdom economy; presentation is not realm-specific.,"position x=-15.425, y=0.000, z=3.544; No direct multiplier interaction in tile landing. Progression/economy choice system."
